,Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
0,1,Man United,38,23,11,4,78,37,41,80
1,2,Chelsea,38,21,8,9,69,33,36,71
2,3,Man City,38,21,8,9,60,33,27,71
3,4,Arsenal,38,19,11,8,72,43,29,68
4,5,Tottenham,38,16,14,8,55,46,9,62
5,6,Liverpool,38,17,7,14,59,44,15,58
6,7,Everton,38,13,15,10,51,45,6,54
7,8,Fulham,38,11,16,11,49,43,6,49
8,9,Aston Villa,38,12,12,14,48,59,-11,48
9,10,Sunderland,38,12,11,15,45,56,-11,47
10,11,West Brom,38,12,11,15,56,71,-15,47
11,12,Newcastle,38,11,13,14,56,57,-1,46
12,13,Stoke,38,13,7,18,46,48,-2,46
13,14,Bolton,38,12,10,16,52,56,-4,46
14,15,Blackburn,38,11,10,17,46,59,-13,43
15,16,Wigan,38,9,15,14,40,61,-21,42
16,17,Wolves,38,11,7,20,46,66,-20,40
17,18,Birmingham,38,8,15,15,37,58,-21,39
18,19,Blackpool,38,10,9,19,55,78,-23,39
19,20,West Ham,38,7,12,19,43,70,-27,33
